Date,1,2,3,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144
2009-09-21,8.848388,8.717408,8.661939,8.805462,9.695441,10.643209,11.382714,11.905881,12.264844,12.511718,12.685171,12.810987,12.905591,12.97927,13.03848,13.087334,13.128512,13.163817,13.194501,13.221462,13.245368,13.266725,13.28593,13.303297,13.31908,13.333488,13.346694
2009-09-22,8.916594,8.751822,8.667998,8.751462,9.588439,10.522898,11.262625,11.789985,12.153785,12.405098,12.582356,12.711366,12.808643,12.884572,12.945691,12.996178,13.038766,13.075299,13.10706,13.134975,13.159728,13.181845,13.201733,13.219719,13.236064,13.250986,13.264663
2009-09-23,8.805889,8.692406,8.650282,8.815086,9.701142,10.625269,11.34221,11.849157,12.198024,12.439304,12.610079,12.734957,12.829584,12.903776,12.963717,13.013368,13.055335,13.091384,13.122752,13.150337,13.174808,13.196676,13.216344,13.234132,13.250298,13.265057,13.278585
2009-09-24,8.814384,8.698754,8.656468,8.828457,9.741302,10.690097,11.424683,11.943384,12.300041,12.546633,12.721192,12.848897,12.945729,13.021701,13.083117,13.134014,13.17705,13.214027,13.246208,13.274511,13.299621,13.322062,13.342245,13.360499,13.37709,13.392236,13.406119
2009-09-25,8.786598,8.684831,8.654276,8.850657,9.778505,10.718367,11.434998,11.933981,12.272247,12.50281,12.663809,12.780166,12.867511,12.935514,12.990186,13.035327,13.073403,13.106069,13.134472,13.159439,13.181582,13.201368,13.219161,13.235252,13.249877,13.263228,13.275466
2009-09-28,8.762757,8.667515,8.641237,8.840745,9.752889,10.669802,11.365812,11.848435,12.174217,12.395296,12.549008,12.659664,12.742454,12.806746,12.858338,12.900882,12.936737,12.967482,12.994207,13.017694,13.038522,13.057131,13.073866,13.089,13.102754,13.115311,13.12682
2009-09-29,8.875813,8.709727,8.639149,8.798017,9.747575,10.678937,11.359781,11.823343,12.138489,12.358879,12.519209,12.640623,12.735891,12.812861,12.876515,12.930138,12.975989,13.015673,13.050373,13.080979,13.108179,13.132514,13.154414,13.174228,13.192241,13.208687,13.223762
2009-09-30,8.949596,8.752976,8.662717,8.803764,9.785242,10.747512,11.438915,11.899138,12.204577,12.413458,12.562646,12.6741,12.76076,12.830379,12.887759,12.936007,12.977218,13.012867,13.044029,13.071511,13.095933,13.117781,13.137443,13.155232,13.171404,13.186169,13.199704
2009-10-01,8.969345,8.767738,8.681228,8.855131,9.887657,10.848743,11.51661,11.952559,12.239861,12.436833,12.578614,12.685504,12.769281,12.836987,12.893016,12.940246,12.980649,13.01563,13.046223,13.07321,13.097195,13.118654,13.137967,13.15544,13.171325,13.185828,13.199123
2009-10-02,8.92607,8.738944,8.661013,8.834913,9.816238,10.726447,11.366613,11.794228,12.084325,12.289047,12.440031,12.555907,12.647806,12.722615,12.784783,12.83731,12.8823,12.921278,12.955378,12.985463,13.012205,13.036131,13.057665,13.077148,13.094859,13.11103,13.125854
2009-10-05,8.944774,8.732224,8.640094,8.805403,9.797301,10.701839,11.329876,11.748266,12.03361,12.236787,12.387973,12.504824,12.597941,12.673966,12.737253,12.790776,12.836643,12.876389,12.911166,12.941851,12.969126,12.99353,13.015493,13.035365,13.05343,13.069925,13.085044
2009-10-06,8.955548,8.747426,8.6629,8.854699,9.871167,10.765071,11.37127,11.768689,12.037078,12.227179,12.368288,12.477241,12.564033,12.634887,12.693868,12.743749,12.786495,12.823538,12.855949,12.884546,12.909966,12.93271,12.95318,12.9717,12.988536,13.003908,13.018
2009-10-07,8.882908,8.713794,8.66158,8.915765,9.959419,10.832888,11.414573,11.793686,12.049844,12.231817,12.367307,12.472159,12.555805,12.624145,12.681058,12.729201,12.770462,12.806219,12.837506,12.865111,12.88965,12.911605,12.931365,12.949242,12.965495,12.980334,12.993937
2009-10-08,8.935767,8.745956,8.68409,8.944956,10.035845,10.933161,11.517655,11.890901,12.139167,12.313727,12.44293,12.54261,12.622011,12.686839,12.740812,12.786461,12.825583,12.859485,12.889149,12.915323,12.938589,12.959405,12.97814,12.99509,13.0105,13.024569,13.037466
2009-10-09,8.915852,8.744114,8.695064,8.97477,10.069606,10.964494,11.548629,11.922976,12.172778,12.348819,12.479296,12.580032,12.660304,12.725855,12.780432,12.826595,12.866156,12.90044,12.930438,12.956907,12.980434,13.001485,13.020431,13.037572,13.053155,13.067383,13.080426
2009-10-13,8.897917,8.724722,8.676483,8.965142,10.079504,10.983676,11.570111,11.943886,12.19229,12.366886,12.496098,12.595781,12.675184,12.740015,12.793989,12.839641,12.878763,12.912667,12.942332,12.968507,12.991773,13.012591,13.031326,13.048277,13.063687,13.077758,13.090655
2009-10-14,8.86935,8.695548,8.647521,8.936124,10.037974,10.924005,11.496535,11.861724,12.105195,12.276931,12.404382,12.502884,12.581427,12.64559,12.699022,12.744221,12.782958,12.816528,12.845902,12.871819,12.894857,12.91547,12.934022,12.950806,12.966065,12.979997,12.992768
2009-10-15,9.002331,8.736232,8.644043,8.930111,10.104738,11.008841,11.584052,11.95504,12.207474,12.388753,12.524891,12.630807,12.715545,12.784877,12.842654,12.891542,12.933446,12.969763,13.001541,13.029579,13.054503,13.076803,13.096872,13.115031,13.131539,13.146611,13.160427
2009-10-16,9.00362,8.716579,8.60884,8.874719,10.073325,11.020777,11.631921,12.028895,12.299875,12.494717,12.641106,12.755013,12.84615,12.920717,12.982857,13.035438,13.080506,13.119566,13.153743,13.183899,13.210705,13.234689,13.256274,13.275804,13.293559,13.309769,13.324629
2009-10-19,8.953021,8.712483,8.627239,8.901231,10.106718,11.10666,11.775849,12.219704,12.525694,12.746602,12.912819,13.042221,13.14577,13.230498,13.301106,13.360852,13.412062,13.456445,13.495279,13.529545,13.560004,13.587256,13.611783,13.633975,13.654149,13.672568,13.689453
2009-10-20,8.981972,8.714648,8.614947,8.878889,10.082972,11.065501,11.713939,12.14062,12.433664,12.6449,12.80375,12.927393,13.026327,13.107278,13.174738,13.231819,13.280746,13.32315,13.360253,13.392991,13.422092,13.448129,13.471563,13.492764,13.512039,13.529637,13.545769
2009-10-21,8.92022,8.701458,8.623786,8.88021,10.025931,10.994942,11.651557,12.089971,12.393131,12.612264,12.77722,12.905659,13.008443,13.092546,13.162633,13.221938,13.272771,13.316826,13.355375,13.389388,13.419622,13.446673,13.47102,13.493047,13.513072,13.531356,13.548116
2009-10-22,8.852836,8.674707,8.608397,8.831066,9.926564,10.928797,11.639353,12.124784,12.463922,12.710069,12.895636,13.040195,13.155897,13.250575,13.329476,13.396239,13.453465,13.503061,13.546457,13.584747,13.618784,13.649237,13.676645,13.701443,13.723987,13.74457,13.763438
2009-10-23,8.824868,8.665675,8.606304,8.817409,9.877016,10.870757,11.585585,12.077599,12.422526,12.673235,12.862343,13.009688,13.127628,13.224138,13.304567,13.372623,13.430957,13.481513,13.52575,13.564782,13.599478,13.630521,13.65846,13.683738,13.706718,13.7277,13.746933
2009-10-26,8.881954,8.679926,8.601673,8.820419,9.924073,10.916774,11.612768,12.085628,12.415197,12.654181,12.83429,12.974584,13.086869,13.17875,13.25532,13.32011,13.375645,13.423776,13.46589,13.503049,13.53608,13.565633,13.592232,13.616297,13.638174,13.658149,13.67646
2009-10-27,8.842907,8.671342,8.606771,8.818461,9.874731,10.847961,11.541074,12.01585,12.348002,12.589231,12.771137,12.912859,13.026293,13.119116,13.196472,13.261928,13.318033,13.366657,13.409204,13.446745,13.480115,13.509972,13.536843,13.561155,13.583257,13.603437,13.621936
2009-10-28,8.794541,8.65082,8.60044,8.817793,9.866505,10.853668,11.567039,12.059425,12.405102,12.656515,12.846202,12.994013,13.112328,13.209147,13.289834,13.358108,13.416629,13.467347,13.511725,13.550882,13.585689,13.616832,13.64486,13.670219,13.693273,13.714322,13.733617
2009-10-29,8.799347,8.645554,8.595569,8.837972,9.926026,10.915437,11.618357,12.099604,12.436262,12.680769,12.86515,13.008801,13.123781,13.217869,13.296279,13.362626,13.419496,13.468783,13.511909,13.549961,13.583786,13.614049,13.641287,13.66593,13.688334,13.708789,13.727539
2009-10-30,8.821907,8.652977,8.600625,8.868269,10.009311,11.014403,11.716415,12.193023,12.525193,12.766079,12.94763,13.089051,13.202238,13.294858,13.372044,13.437356,13.493337,13.541855,13.584308,13.621766,13.655062,13.684854,13.711666,13.735925,13.757978,13.778114,13.796572
2009-11-03,8.842597,8.647245,8.576131,8.81478,9.94333,10.947288,11.648845,12.124943,12.456651,12.697164,12.878424,13.019613,13.132615,13.225082,13.302141,13.367345,13.423235,13.471672,13.514055,13.551452,13.584694,13.614436,13.641204,13.665423,13.68744,13.707543,13.72597
2009-11-04,8.823297,8.637908,8.570721,8.805505,9.921985,10.927162,11.634705,12.116661,12.453019,12.69707,12.881043,13.024358,13.139063,13.232926,13.311148,13.377336,13.434069,13.483238,13.52626,13.564222,13.597965,13.628156,13.655328,13.679913,13.702262,13.722668,13.741374
2009-11-05,8.843374,8.637861,8.556104,8.767347,9.871921,10.87524,11.582101,12.063558,12.399523,12.643272,12.82701,12.97014,13.084698,13.178439,13.25656,13.322663,13.379322,13.428428,13.471395,13.509307,13.543006,13.573159,13.600296,13.624848,13.647169,13.667548,13.68623
